instance,method,family,distance,vehicles,ontime_p50,ontime_p95,ontime_mean,feasible
R111,Gamma2,R,1753.87,15,48.0,52.05,50.025,True
R112,DET,R,966.0,10,99.05,99.58,97.49,True
R112,Q120,R,1069.0,12,47.0,53.0,50.0,True
R112,Q1405,R,1127.0,13,45.0,45.0,45.0,True
R112,SAA16-b0p3,R,1118.0,10,35.0,40.0,37.5,True
R112,SAA32-b0p5,R,1163.0,11,35.0,40.0,37.5,True
R112,SAA64-b0p7,R,1155.0,11,35.0,40.0,37.5,True
R112,Gamma1,R,1447.065,13,47.5,56.0,51.75,True
R112,Gamma2,R,1493.83,13,47.5,56.0,51.75,True
R201,DET,R,1195.0,8,99.05,99.58,97.49,True
R201,Q120,R,,0,,,,
R201,Q1405,R,,0,,,,
R201,SAA16-b0p3,R,1270.0,8,19.0,20.0,19.5,True
R201,SAA32-b0p5,R,1364.0,8,19.0,20.0,19.5,True
R201,SAA64-b0p7,R,1405.0,8,19.0,20.0,19.5,True
R201,Gamma1,R,1648.3,8,28.0,31.0,29.5,True
R201,Gamma2,R,1682.3,8,28.0,31.0,29.5,True
R202,DET,R,1073.0,8,99.05,99.58,97.49,True
R202,Q120,R,,0,,,,
R202,Q1405,R,,0,,,,
R202,SAA16-b0p3,R,1171.0,8,32.5,37.0,34.75,True
R202,SAA32-b0p5,R,1293.0,8,32.5,37.0,34.75,True
R202,SAA64-b0p7,R,1261.0,8,32.5,37.0,34.75,True
R202,Gamma1,R,1492.934,8,36.0,38.0,37.0,True
R202,Gamma2,R,1537.53,8,36.0,38.0,37.0,True
R203,DET,R,957.0,8,99.05,99.58,97.49,True
R203,Q120,R,,0,,,,
R203,Q1405,R,,0,,,,
R203,SAA16-b0p3,R,1024.0,8,51.0,56.0,53.5,True
R203,SAA32-b0p5,R,1081.0,8,51.0,56.0,53.5,True
R203,SAA64-b0p7,R,1112.0,8,51.0,56.0,53.5,True
R203,Gamma1,R,1373.195,8,55.0,57.0,56.0,True
R203,Gamma2,R,1348.87,8,55.0,57.0,56.0,True
R204,DET,R,843.0,8,99.05,99.58,97.49,True
R204,Q120,R,,0,,,,
R204,Q1405,R,,0,,,,
R204,SAA16-b0p3,R,930.0,8,75.0,77.0,76.0,True
R204,SAA32-b0p5,R,991.0,8,75.0,77.0,76.0,True
